timestamp,hour,minute,day_of_week,sin_hour,cos_hour,sin_day,cos_day,is_weekend,is_morning_rush,is_evening_rush,weather,weather_multiplier,lag_pcu_N,lag_pcu_S,lag_pcu_E,lag_pcu_W,flow_north_vpm,flow_south_vpm,flow_east_vpm,flow_west_vpm,pcu_north,pcu_south,pcu_east,pcu_west,total_intersection_pcu,congestion_north,congestion_south,congestion_east,congestion_west,critical_approach,target_green_NS,target_green_EW
2026-06-01 03:30,3,30,0,0.7934,0.6088,0.0,1.0,0,0,0,Clear,1.0,1.3,1.3,1.1,1.1,6.0,6.0,5.2,5.0,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,28.0,24.0
2026-06-01 03:45,3,45,0,0.8315,0.5556,0.0,1.0,0,0,0,Clear,1.0,1.3,1.3,1.1,1.1,5.7,6.3,4.8,5.1,1.3,1.4,1.1,1.1,4.9,LOW,LOW,LOW,LOW,S,28.6,23.4
2026-06-01 04:00,4,0,0,0.866,0.5,0.0,1.0,0,0,0,Clear,1.0,1.3,1.4,1.1,1.1,6.0,5.7,4.9,5.0,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,28.3,23.7
2026-06-01 04:15,4,15,0,0.8969,0.4423,0.0,1.0,0,0,0,Rain,1.25,1.3,1.3,1.1,1.1,7.5,7.3,6.2,6.0,1.6,1.6,1.4,1.3,5.9,LOW,LOW,LOW,LOW,N,28.5,23.5
2026-06-01 04:30,4,30,0,0.9239,0.3827,0.0,1.0,0,0,0,Clear,1.0,1.6,1.6,1.4,1.3,5.9,6.2,5.1,4.8,1.3,1.4,1.1,1.1,4.9,LOW,LOW,LOW,LOW,S,28.6,23.4
2026-06-01 04:45,4,45,0,0.9469,0.3214,0.0,1.0,0,0,0,Clear,1.0,1.3,1.4,1.1,1.1,5.9,5.8,4.9,5.0,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,28.2,23.8
2026-06-01 05:00,5,0,0,0.9659,0.2588,0.0,1.0,0,0,0,Clear,1.0,1.3,1.3,1.1,1.1,5.9,6.0,5.1,4.8,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,28.3,23.7
2026-06-01 05:15,5,15,0,0.9808,0.1951,0.0,1.0,0,0,0,Clear,1.0,1.3,1.3,1.1,1.1,5.9,5.9,4.8,5.0,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,28.3,23.7
2026-06-01 05:30,5,30,0,0.9914,0.1305,0.0,1.0,0,0,0,Rain,1.25,1.3,1.3,1.1,1.1,7.8,7.4,6.5,6.0,1.7,1.6,1.4,1.3,6.0,LOW,LOW,LOW,LOW,N,28.5,23.5
2026-06-01 05:45,5,45,0,0.9979,0.0654,0.0,1.0,0,0,0,Clear,1.0,1.7,1.6,1.4,1.3,5.8,6.1,4.8,4.9,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,28.7,23.3
2026-06-01 06:00,6,0,0,1.0,0.0,0.0,1.0,0,0,0,Clear,1.0,1.3,1.3,1.1,1.1,24.5,25.4,21.8,21.2,5.4,5.6,4.8,4.7,20.5,LOW,LOW,LOW,LOW,S,28.0,24.0
2026-06-01 06:15,6,15,0,0.9979,-0.0654,0.0,1.0,0,0,0,Rain,1.25,5.4,5.6,4.8,4.7,31.0,31.5,26.6,27.2,6.8,6.9,5.9,6.0,25.6,MEDIUM,MEDIUM,LOW,MEDIUM,S,27.9,24.1
2026-06-01 06:30,6,30,0,0.9914,-0.1305,0.0,1.0,0,0,0,Clear,1.0,6.8,6.9,5.9,6.0,25.1,24.7,21.1,21.2,5.5,5.4,4.6,4.7,20.2,LOW,LOW,LOW,LOW,N,28.2,23.8
2026-06-01 06:45,6,45,0,0.9808,-0.1951,0.0,1.0,0,0,0,Rain,1.25,5.5,5.4,4.6,4.7,29.8,32.2,27.0,26.7,6.6,7.1,5.9,5.9,25.5,MEDIUM,MEDIUM,LOW,LOW,S,28.1,23.9
2026-06-01 07:00,7,0,0,0.9659,-0.2588,0.0,1.0,0,1,0,Clear,1.0,6.6,7.1,5.9,5.9,109.4,17.2,83.3,18.4,24.1,3.8,18.3,4.0,50.2,VERY_HIGH,LOW,HIGH,LOW,N,29.3,22.7
2026-06-01 07:15,7,15,0,0.9469,-0.3214,0.0,1.0,0,1,0,Clear,1.0,24.1,3.8,18.3,4.0,107.6,17.8,88.2,17.3,23.7,3.9,19.4,3.8,50.8,HIGH,LOW,HIGH,LOW,N,28.4,23.6
2026-06-01 07:30,7,30,0,0.9239,-0.3827,0.0,1.0,0,1,0,Clear,1.0,23.7,3.9,19.4,3.8,115.4,17.4,86.1,18.6,25.4,3.8,18.9,4.1,52.2,VERY_HIGH,LOW,HIGH,LOW,N,29.5,22.5
2026-06-01 07:45,7,45,0,0.8969,-0.4423,0.0,1.0,0,1,0,Clear,1.0,25.4,3.8,18.9,4.1,109.9,18.8,85.1,18.0,24.2,4.1,18.7,4.0,51.0,VERY_HIGH,LOW,HIGH,LOW,N,29.1,22.9
2026-06-01 08:00,8,0,0,0.866,-0.5,0.0,1.0,0,1,0,Clear,1.0,24.2,4.1,18.7,4.0,141.9,17.2,111.0,17.8,31.2,3.8,24.4,3.9,63.3,VERY_HIGH,LOW,VERY_HIGH,LOW,N,29.0,23.0
2026-06-01 08:15,8,15,0,0.8315,-0.5556,0.0,1.0,0,1,0,Clear,1.0,31.2,3.8,24.4,3.9,140.4,18.8,107.9,17.3,30.9,4.1,23.7,3.8,62.5,VERY_HIGH,LOW,HIGH,LOW,N,29.3,22.7
2026-06-01 08:30,8,30,0,0.7934,-0.6088,0.0,1.0,0,1,0,Clear,1.0,30.9,4.1,23.7,3.8,149.4,18.1,108.3,18.4,32.9,4.0,23.8,4.0,64.7,VERY_HIGH,LOW,HIGH,LOW,N,29.9,22.1
2026-06-01 08:45,8,45,0,0.7518,-0.6593,0.0,1.0,0,1,0,Clear,1.0,32.9,4.0,23.8,4.0,137.4,18.1,109.4,17.7,30.2,4.0,24.1,3.9,62.2,VERY_HIGH,LOW,VERY_HIGH,LOW,N,28.8,23.2
2026-06-01 09:00,9,0,0,0.7071,-0.7071,0.0,1.0,0,1,0,Clear,1.0,30.2,4.0,24.1,3.9,109.6,17.7,87.5,17.6,24.1,3.9,19.2,3.9,51.1,VERY_HIGH,LOW,HIGH,LOW,N,28.7,23.3
2026-06-01 09:15,9,15,0,0.6593,-0.7518,0.0,1.0,0,1,0,Clear,1.0,24.1,3.9,19.2,3.9,110.2,17.3,82.0,18.2,24.2,3.8,18.0,4.0,50.0,VERY_HIGH,LOW,HIGH,LOW,N,29.5,22.5
2026-06-01 09:30,9,30,0,0.6088,-0.7934,0.0,1.0,0,1,0,Clear,1.0,24.2,3.8,18.0,4.0,104.9,18.8,87.8,17.5,23.1,4.1,19.3,3.9,50.4,HIGH,LOW,HIGH,LOW,N,28.2,23.8
2026-06-01 09:45,9,45,0,0.5556,-0.8315,0.0,1.0,0,1,0,Clear,1.0,23.1,4.1,19.3,3.9,113.5,18.4,82.4,18.1,25.0,4.0,18.1,4.0,51.1,VERY_HIGH,LOW,HIGH,LOW,N,29.9,22.1
2026-06-01 10:00,10,0,0,0.5,-0.866,0.0,1.0,0,0,0,Clear,1.0,25.0,4.0,18.1,4.0,25.7,24.5,23.1,20.9,5.7,5.4,5.1,4.6,20.8,LOW,LOW,LOW,LOW,N,27.6,24.4
2026-06-01 10:15,10,15,0,0.4423,-0.8969,0.0,1.0,0,0,0,Clear,1.0,5.7,5.4,5.1,4.6,23.9,24.3,22.7,22.3,5.3,5.3,5.0,4.9,20.5,LOW,LOW,LOW,LOW,N,26.9,25.1
2026-06-01 10:30,10,30,0,0.3827,-0.9239,0.0,1.0,0,0,0,Clear,1.0,5.3,5.3,5.0,4.9,24.0,25.9,20.9,21.1,5.3,5.7,4.6,4.6,20.2,LOW,LOW,LOW,LOW,S,28.4,23.6
2026-06-01 10:45,10,45,0,0.3214,-0.9469,0.0,1.0,0,0,0,Heavy Rain,1.5,5.3,5.7,4.6,4.6,38.6,37.5,32.3,33.9,8.5,8.2,7.1,7.5,31.3,MEDIUM,MEDIUM,MEDIUM,MEDIUM,N,27.7,24.3
2026-06-01 11:00,11,0,0,0.2588,-0.9659,0.0,1.0,0,0,0,Clear,1.0,8.5,8.2,7.1,7.5,41.9,38.3,36.4,36.7,9.2,8.4,8.0,8.1,33.7,MEDIUM,MEDIUM,MEDIUM,MEDIUM,N,27.5,24.5
2026-06-01 11:15,11,15,0,0.1951,-0.9808,0.0,1.0,0,0,0,Clear,1.0,9.2,8.4,8.0,8.1,39.4,40.3,33.8,35.8,8.7,8.9,7.4,7.9,32.9,MEDIUM,MEDIUM,MEDIUM,MEDIUM,S,27.7,24.3
2026-06-01 11:30,11,30,0,0.1305,-0.9914,0.0,1.0,0,0,0,Clear,1.0,8.7,8.9,7.4,7.9,40.5,41.0,35.3,35.3,8.9,9.0,7.8,7.8,33.5,MEDIUM,MEDIUM,MEDIUM,MEDIUM,S,27.9,24.1
2026-06-01 11:45,11,45,0,0.0654,-0.9979,0.0,1.0,0,0,0,Clear,1.0,8.9,9.0,7.8,7.8,41.6,41.9,33.4,33.8,9.2,9.2,7.3,7.4,33.1,MEDIUM,MEDIUM,MEDIUM,MEDIUM,N,28.8,23.2
2026-06-01 12:00,12,0,0,0.0,-1.0,0.0,1.0,0,0,0,Rain,1.25,9.2,9.2,7.3,7.4,52.3,50.5,41.8,42.2,11.5,11.1,9.2,9.3,41.1,MEDIUM,MEDIUM,MEDIUM,MEDIUM,N,28.7,23.3
2026-06-01 12:15,12,15,0,-0.0654,-0.9979,0.0,1.0,0,0,0,Rain,1.25,11.5,11.1,9.2,9.3,49.7,49.5,41.8,42.5,10.9,10.9,9.2,9.3,40.3,MEDIUM,MEDIUM,MEDIUM,MEDIUM,N,28.1,23.9
2026-06-01 12:30,12,30,0,-0.1305,-0.9914,0.0,1.0,0,0,0,Heavy Rain,1.5,10.9,10.9,9.2,9.3,58.4,60.1,52.9,52.8,12.8,13.2,11.6,11.6,49.2,MEDIUM,MEDIUM,MEDIUM,MEDIUM,S,27.6,24.4
2026-06-01 12:45,12,45,0,-0.1951,-0.9808,0.0,1.0,0,0,0,Clear,1.0,12.8,13.2,11.6,11.6,39.1,40.4,35.0,35.5,8.6,8.9,7.7,7.8,33.0,MEDIUM,MEDIUM,MEDIUM,MEDIUM,S,27.6,24.4
2026-06-01 13:00,13,0,0,-0.2588,-0.9659,0.0,1.0,0,0,0,Clear,1.0,8.6,8.9,7.7,7.8,41.5,40.8,33.3,35.8,9.1,9.0,7.3,7.9,33.3,MEDIUM,MEDIUM,MEDIUM,MEDIUM,N,28.1,23.9
2026-06-01 13:15,13,15,0,-0.3214,-0.9469,0.0,1.0,0,0,0,Clear,1.0,9.1,9.0,7.3,7.9,41.7,40.0,34.9,33.6,9.2,8.8,7.7,7.4,33.1,MEDIUM,MEDIUM,MEDIUM,MEDIUM,N,28.3,23.7
2026-06-01 13:30,13,30,0,-0.3827,-0.9239,0.0,1.0,0,0,0,Heavy Rain,1.5,9.2,8.8,7.7,7.4,58.6,58.5,51.4,52.4,12.9,12.9,11.3,11.5,48.6,MEDIUM,MEDIUM,MEDIUM,MEDIUM,N,27.5,24.5
2026-06-01 13:45,13,45,0,-0.4423,-0.8969,0.0,1.0,0,0,0,Clear,1.0,12.9,12.9,11.3,11.5,39.2,40.1,34.9,34.9,8.6,8.8,7.7,7.7,32.8,MEDIUM,MEDIUM,MEDIUM,MEDIUM,S,27.7,24.3
2026-06-01 14:00,14,0,0,-0.5,-0.866,0.0,1.0,0,0,0,Clear,1.0,8.6,8.8,7.7,7.7,39.3,38.6,33.5,34.4,8.6,8.5,7.4,7.6,32.1,MEDIUM,MEDIUM,MEDIUM,MEDIUM,N,27.8,24.2
2026-06-01 14:15,14,15,0,-0.5556,-0.8315,0.0,1.0,0,0,0,Clear,1.0,8.6,8.5,7.4,7.6,41.4,40.5,34.4,33.9,9.1,8.9,7.6,7.5,33.1,MEDIUM,MEDIUM,MEDIUM,MEDIUM,N,28.4,23.6
2026-06-01 14:30,14,30,0,-0.6088,-0.7934,0.0,1.0,0,0,0,Clear,1.0,9.1,8.9,7.6,7.5,38.6,40.2,36.0,35.8,8.5,8.8,7.9,7.9,33.1,MEDIUM,MEDIUM,MEDIUM,MEDIUM,S,27.3,24.7
2026-06-01 14:45,14,45,0,-0.6593,-0.7518,0.0,1.0,0,0,0,Clear,1.0,8.5,8.8,7.9,7.9,40.9,40.2,33.9,35.8,9.0,8.8,7.5,7.9,33.2,MEDIUM,MEDIUM,MEDIUM,MEDIUM,N,27.9,24.1
2026-06-01 15:00,15,0,0,-0.7071,-0.7071,0.0,1.0,0,0,0,Heavy Rain,1.5,9.0,8.8,7.5,7.9,58.2,58.8,51.9,50.5,12.8,12.9,11.4,11.1,48.2,MEDIUM,MEDIUM,MEDIUM,MEDIUM,S,27.7,24.3
2026-06-01 15:15,15,15,0,-0.7518,-0.6593,0.0,1.0,0,0,0,Clear,1.0,12.8,12.9,11.4,11.1,40.9,41.2,34.8,33.9,9.0,9.1,7.7,7.5,33.3,MEDIUM,MEDIUM,MEDIUM,MEDIUM,S,28.3,23.7
2026-06-01 15:30,15,30,0,-0.7934,-0.6088,0.0,1.0,0,0,0,Clear,1.0,9.0,9.1,7.7,7.5,38.1,41.0,34.9,36.1,8.4,9.0,7.7,7.9,33.0,MEDIUM,MEDIUM,MEDIUM,MEDIUM,S,27.5,24.5
2026-06-01 15:45,15,45,0,-0.8315,-0.5556,0.0,1.0,0,0,0,Clear,1.0,8.4,9.0,7.7,7.9,39.1,40.5,36.7,35.4,8.6,8.9,8.1,7.8,33.4,MEDIUM,MEDIUM,MEDIUM,MEDIUM,S,27.3,24.7
2026-06-01 16:00,16,0,0,-0.866,-0.5,0.0,1.0,0,0,1,Clear,1.0,8.6,8.9,8.1,7.8,17.1,109.2,18.6,88.1,3.8,24.0,4.1,19.4,51.3,LOW,VERY_HIGH,LOW,HIGH,S,28.5,23.5
2026-06-01 16:15,16,15,0,-0.8969,-0.4423,0.0,1.0,0,0,1,Heavy Rain,1.5,3.8,24.0,4.1,19.4,27.8,171.2,26.9,122.8,6.1,37.7,5.9,27.0,76.7,MEDIUM,VERY_HIGH,LOW,VERY_HIGH,S,30.0,22.0
2026-06-01 16:30,16,30,0,-0.9239,-0.3827,0.0,1.0,0,0,1,Clear,1.0,6.1,37.7,5.9,27.0,18.4,112.9,17.7,81.0,4.0,24.8,3.9,17.8,50.5,LOW,VERY_HIGH,LOW,HIGH,S,30.0,22.0
2026-06-01 16:45,16,45,0,-0.9469,-0.3214,0.0,1.0,0,0,1,Clear,1.0,4.0,24.8,3.9,17.8,18.7,109.0,18.9,87.0,4.1,24.0,4.2,19.1,51.4,LOW,VERY_HIGH,LOW,HIGH,S,28.7,23.3
2026-06-01 17:00,17,0,0,-0.9659,-0.2588,0.0,1.0,0,0,1,Clear,1.0,4.1,24.0,4.2,19.1,18.7,136.5,17.2,98.3,4.1,30.0,3.8,21.6,59.5,LOW,VERY_HIGH,LOW,HIGH,S,30.1,21.9
2026-06-01 17:15,17,15,0,-0.9808,-0.1951,0.0,1.0,0,0,1,Rain,1.25,4.1,30.0,3.8,21.6,21.7,156.9,22.9,131.8,4.8,34.5,5.0,29.0,73.3,LOW,VERY_HIGH,LOW,VERY_HIGH,S,28.1,23.9
2026-06-01 17:30,17,30,0,-0.9914,-0.1305,0.0,1.0,0,0,1,Rain,1.25,4.8,34.5,5.0,29.0,22.7,160.9,21.7,129.7,5.0,35.4,4.8,28.5,73.7,LOW,VERY_HIGH,LOW,VERY_HIGH,S,28.7,23.3
2026-06-01 17:45,17,45,0,-0.9979,-0.0654,0.0,1.0,0,0,1,Clear,1.0,5.0,35.4,4.8,28.5,18.9,134.1,18.5,101.5,4.2,29.5,4.1,22.3,60.1,LOW,VERY_HIGH,LOW,HIGH,S,29.4,22.6
2026-06-01 18:00,18,0,0,-1.0,-0.0,0.0,1.0,0,0,1,Clear,1.0,4.2,29.5,4.1,22.3,17.8,126.5,18.0,103.6,3.9,27.8,4.0,22.8,58.5,LOW,VERY_HIGH,LOW,HIGH,S,28.4,23.6
2026-06-01 18:15,18,15,0,-0.9979,0.0654,0.0,1.0,0,0,1,Clear,1.0,3.9,27.8,4.0,22.8,17.5,138.6,17.5,104.6,3.9,30.5,3.9,23.0,61.3,LOW,VERY_HIGH,LOW,HIGH,S,29.5,22.5
2026-06-01 18:30,18,30,0,-0.9914,0.1305,0.0,1.0,0,0,1,Clear,1.0,3.9,30.5,3.9,23.0,17.3,129.2,17.9,99.2,3.8,28.4,3.9,21.8,57.9,LOW,VERY_HIGH,LOW,HIGH,S,29.2,22.8
2026-06-01 18:45,18,45,0,-0.9808,0.1951,0.0,1.0,0,0,1,Clear,1.0,3.8,28.4,3.9,21.8,18.4,134.4,18.7,99.2,4.0,29.6,4.1,21.8,59.5,LOW,VERY_HIGH,LOW,HIGH,S,29.7,22.3
2026-06-01 19:00,19,0,0,-0.9659,0.2588,0.0,1.0,0,0,1,Clear,1.0,4.0,29.6,4.1,21.8,17.5,111.1,17.2,80.8,3.9,24.4,3.8,17.8,49.9,LOW,VERY_HIGH,LOW,HIGH,S,29.9,22.1
2026-06-01 19:15,19,15,0,-0.9469,0.3214,0.0,1.0,0,0,1,Clear,1.0,3.9,24.4,3.8,17.8,18.6,105.6,18.4,84.8,4.1,23.2,4.0,18.7,50.0,LOW,HIGH,LOW,HIGH,S,28.7,23.3
2026-06-01 19:30,19,30,0,-0.9239,0.3827,0.0,1.0,0,0,1,Clear,1.0,4.1,23.2,4.0,18.7,17.3,114.9,18.2,89.2,3.8,25.3,4.0,19.6,52.7,LOW,VERY_HIGH,LOW,HIGH,S,29.0,23.0
2026-06-01 19:45,19,45,0,-0.8969,0.4423,0.0,1.0,0,0,1,Clear,1.0,3.8,25.3,4.0,19.6,17.6,112.8,17.2,86.0,3.9,24.8,3.8,18.9,51.4,LOW,VERY_HIGH,LOW,HIGH,S,29.3,22.7
2026-06-01 20:00,20,0,0,-0.866,0.5,0.0,1.0,0,0,0,Clear,1.0,3.9,24.8,3.8,18.9,26.1,26.0,21.6,20.9,5.7,5.7,4.8,4.6,20.8,LOW,LOW,LOW,LOW,N,28.5,23.5
2026-06-01 20:15,20,15,0,-0.8315,0.5556,0.0,1.0,0,0,0,Clear,1.0,5.7,5.7,4.8,4.6,25.2,25.9,21.6,22.7,5.5,5.7,4.8,5.0,21.0,LOW,LOW,LOW,LOW,S,27.8,24.2
2026-06-01 20:30,20,30,0,-0.7934,0.6088,0.0,1.0,0,0,0,Clear,1.0,5.5,5.7,4.8,5.0,24.4,24.2,21.5,21.5,5.4,5.3,4.7,4.7,20.1,LOW,LOW,LOW,LOW,N,27.6,24.4
2026-06-01 20:45,20,45,0,-0.7518,0.6593,0.0,1.0,0,0,0,Clear,1.0,5.4,5.3,4.7,4.7,25.0,25.1,21.8,22.7,5.5,5.5,4.8,5.0,20.8,LOW,LOW,LOW,LOW,N,27.4,24.6
2026-06-01 21:00,21,0,0,-0.7071,0.7071,0.0,1.0,0,0,0,Clear,1.0,5.5,5.5,4.8,5.0,25.1,26.0,23.1,21.7,5.5,5.7,5.1,4.8,21.1,LOW,LOW,LOW,LOW,S,27.6,24.4
2026-06-01 21:15,21,15,0,-0.6593,0.7518,0.0,1.0,0,0,0,Rain,1.25,5.5,5.7,5.1,4.8,32.6,32.0,28.4,26.8,7.2,7.0,6.2,5.9,26.3,MEDIUM,MEDIUM,MEDIUM,LOW,N,27.9,24.1
2026-06-01 21:30,21,30,0,-0.6088,0.7934,0.0,1.0,0,0,0,Clear,1.0,7.2,7.0,6.2,5.9,24.2,25.4,22.7,21.4,5.3,5.6,5.0,4.7,20.6,LOW,LOW,LOW,LOW,S,27.5,24.5
2026-06-01 21:45,21,45,0,-0.5556,0.8315,0.0,1.0,0,0,0,Clear,1.0,5.3,5.6,5.0,4.7,23.8,25.5,21.3,21.2,5.2,5.6,4.7,4.7,20.2,LOW,LOW,LOW,LOW,S,28.1,23.9
2026-06-01 22:00,22,0,0,-0.5,0.866,0.0,1.0,0,0,0,Rain,1.25,5.2,5.6,4.7,4.7,30.4,32.5,28.7,28.7,6.7,7.2,6.3,6.3,26.5,MEDIUM,MEDIUM,MEDIUM,MEDIUM,S,27.4,24.6
2026-06-01 22:15,22,15,0,-0.4423,0.8969,0.0,1.0,0,0,0,Clear,1.0,6.7,7.2,6.3,6.3,24.6,26.0,22.7,22.6,5.4,5.7,5.0,5.0,21.1,LOW,LOW,LOW,LOW,S,27.6,24.4
2026-06-01 22:30,22,30,0,-0.3827,0.9239,0.0,1.0,0,0,0,Clear,1.0,5.4,5.7,5.0,5.0,25.9,24.3,21.6,22.5,5.7,5.3,4.8,5.0,20.8,LOW,LOW,LOW,LOW,N,27.8,24.2
2026-06-01 22:45,22,45,0,-0.3214,0.9469,0.0,1.0,0,0,0,Rain,1.25,5.7,5.3,4.8,5.0,31.4,32.2,28.3,27.8,6.9,7.1,6.2,6.1,26.3,MEDIUM,MEDIUM,MEDIUM,MEDIUM,S,27.7,24.3
2026-06-01 23:00,23,0,0,-0.2588,0.9659,0.0,1.0,0,0,0,Clear,1.0,6.9,7.1,6.2,6.1,6.2,6.2,5.0,4.8,1.4,1.4,1.1,1.1,5.0,LOW,LOW,LOW,LOW,N,28.9,23.1
2026-06-01 23:15,23,15,0,-0.1951,0.9808,0.0,1.0,0,0,0,Clear,1.0,1.4,1.4,1.1,1.1,5.8,6.2,5.0,4.8,1.3,1.4,1.1,1.1,4.9,LOW,LOW,LOW,LOW,S,28.7,23.3
2026-06-01 23:30,23,30,0,-0.1305,0.9914,0.0,1.0,0,0,0,Clear,1.0,1.3,1.4,1.1,1.1,6.1,6.3,5.1,5.2,1.3,1.4,1.1,1.1,4.9,LOW,LOW,LOW,LOW,S,28.4,23.6
2026-06-01 23:45,23,45,0,-0.0654,0.9979,0.0,1.0,0,0,0,Rain,1.25,1.3,1.4,1.1,1.1,7.6,7.8,6.2,6.4,1.7,1.7,1.4,1.4,6.2,LOW,LOW,LOW,LOW,N,28.6,23.4
2026-06-02 00:00,0,0,1,0.0,1.0,0.7818,0.6235,0,0,0,Clear,1.0,1.7,1.7,1.4,1.4,6.0,6.2,5.1,4.9,1.3,1.4,1.1,1.1,4.9,LOW,LOW,LOW,LOW,S,28.6,23.4
2026-06-02 00:15,0,15,1,0.0654,0.9979,0.7818,0.6235,0,0,0,Clear,1.0,1.3,1.4,1.1,1.1,6.0,5.9,5.1,5.1,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,28.1,23.9
2026-06-02 00:30,0,30,1,0.1305,0.9914,0.7818,0.6235,0,0,0,Clear,1.0,1.3,1.3,1.1,1.1,6.2,5.8,5.2,4.9,1.4,1.3,1.1,1.1,4.9,LOW,LOW,LOW,LOW,N,28.3,23.7
2026-06-02 00:45,0,45,1,0.1951,0.9808,0.7818,0.6235,0,0,0,Rain,1.25,1.4,1.3,1.1,1.1,7.5,7.3,6.5,6.1,1.6,1.6,1.4,1.3,5.9,LOW,LOW,LOW,LOW,N,28.0,24.0
2026-06-02 01:00,1,0,1,0.2588,0.9659,0.7818,0.6235,0,0,0,Clear,1.0,1.6,1.6,1.4,1.3,6.2,6.2,5.0,4.8,1.4,1.4,1.1,1.1,5.0,LOW,LOW,LOW,LOW,N,28.9,23.1
2026-06-02 01:15,1,15,1,0.3214,0.9469,0.7818,0.6235,0,0,0,Clear,1.0,1.4,1.4,1.1,1.1,6.0,5.9,4.9,4.9,1.3,1.3,1.1,1.1,4.8,LOW,LOW,LOW,LOW,N,28.6,23.4
